Quality Inspection Terminal,สถานีตรวจสอบคุณภาพ,
Inspection Queue,คิวงานตรวจสอบ,
Quality Inspection,การตรวจสอบคุณภาพ,
Filters,ตัวกรอง,
Refresh,รีเฟรช,
Customer Code,รหัสสินค้าลูกค้า,
Inspection Result,ผลการตรวจสอบ,
System Result,ผลที่ระบบประเมิน,
Manual Result,ผลแบบกำหนดเอง,
Sample Qty,จำนวนตัวอย่าง,
Defect Samples,ตัวอย่างเสีย,
Defect Rate,อัตราของเสีย,
Measurements,ค่าตรวจวัด,
Readings,ค่าที่อ่าน,
Parameter,พารามิเตอร์,
Sample,ตัวอย่าง,
samples,ตัวอย่าง,
Add Sample,เพิ่มตัวอย่าง,
No template readings. Use Manual Result before submit.,ไม่มีรายการตรวจจากแม่แบบ ให้ใช้ผลแบบกำหนดเองก่อนส่ง,
Reference Sample,ตัวอย่างอ้างอิง,
Required,จำเป็น,
Optional,ไม่บังคับ,
Defects,ข้อบกพร่อง,JCE Quality
Defect Photos,รูปข้อบกพร่อง,
Capture Photo,ถ่ายรูป,
Camera Permission,สิทธิ์กล้อง,
Continue,ดำเนินการต่อ,
The browser will ask for camera access. Allow it to take inspection photos with a watermark.,เบราว์เซอร์จะขอสิทธิ์ใช้กล้อง โปรดอนุญาตเพื่อถ่ายภาพตรวจสอบพร้อมลายน้ำ,
Camera access requires HTTPS or a secure local context on Apple devices.,การใช้กล้องบนอุปกรณ์ Apple ต้องใช้ HTTPS หรือบริบทที่ปลอดภัย,
iPad Full Screen,เต็มหน้าจอ iPad,
"For a toolbar-free terminal on Apple devices, add this page to the Home Screen and open it from there.",หากต้องการใช้งานแบบไม่มีแถบเครื่องมือบนอุปกรณ์ Apple ให้เพิ่มหน้านี้ไปที่หน้าจอโฮมแล้วเปิดจากไอคอนนั้น,
Full Screen,เต็มหน้าจอ,
Exit Full Screen,ออกจากเต็มหน้าจอ,
NG Quick Actions,การดำเนินการ NG แบบเร็ว,
Schedule Warning,แจ้งเตือนแผนผลิต,
Increase Patrol,เพิ่มจำนวนตรวจระหว่างผลิต,
Patrol already increased,เพิ่มจำนวนตรวจระหว่างผลิตแล้ว,
Additional Patrol Count,จำนวนตรวจระหว่างผลิตเพิ่มเติม,
Defect Summary,สรุปข้อบกพร่อง,
Create DMR,สร้าง DMR,
Cancel,ยกเลิก,
Save,บันทึก,
Save Draft,บันทึกร่าง,
Submit,ส่ง,
Submit Inspection,ส่งผลตรวจ,
Operator Note,หมายเหตุผู้ปฏิบัติงาน,
Inspection Process,กระบวนการตรวจ,
Inspector,ผู้ตรวจ,
Time,เวลา,
First Article,ตรวจชิ้นแรก,
Patrol,ตรวจระหว่างผลิต,
Last Article,ตรวจชิ้นท้าย,
Final Release,ปล่อยเข้าคลัง,
Accepted,ผ่าน,
Rejected,ไม่ผ่าน,
Pending,รอดำเนินการ,
OK,OK,
NG,NG,
Inspection Method,วิธีการตรวจ,
Inspection Standard,มาตรฐานการตรวจ,
Method Name,ชื่อวิธี,
Method Description,รายละเอียดวิธี,
Alert Note,หมายเหตุแจ้งเตือน,
Choose a follow-up action for this NG inspection.,เลือกการดำเนินการต่อสำหรับผลตรวจ NG นี้,
Temporary Continue,อนุญาตผลิตต่อชั่วคราว,
Stop Production,หยุดการผลิต,
Rework,แก้ไขงาน,
Scrap,ตัดทิ้ง,
Request Concession,ขออนุมัติรับแบบผ่อนผัน,
Approve Concession,อนุมัติแบบผ่อนผัน,
Pending Disposition,รอการพิจารณา,
Pending Concession Approval,รออนุมัติแบบผ่อนผัน,
Production Hold,พักการผลิต,
Production May Continue,ผลิตต่อได้,
Released,ปล่อยแล้ว,
Final Gate Passed,ผ่านด่านคุณภาพสุดท้าย,
Final Gate Blocked,ด่านคุณภาพสุดท้ายยังถูกบล็อก,
NG Disposition Tracking,ติดตามการพิจารณา NG,
NG Tracking,ติดตาม NG,
Production Status,สถานะการผลิต,
Quality Gate,ด่านคุณภาพ,
Disposition,การพิจารณา,
Disposition By,ผู้พิจารณา,
Disposition At,เวลาพิจารณา,
Concession Approval,อนุมัติแบบผ่อนผัน,
Approved,อนุมัติแล้ว,
Not Approved,ยังไม่อนุมัติ,
Disposition Remarks,ความเห็นการพิจารณา,
Waiting for an authorized user to record disposition.,รอผู้มีสิทธิ์บันทึกการพิจารณา,
Saving disposition...,กำลังบันทึกการพิจารณา...,
Approve concession release for this NG inspection.,อนุมัติการปล่อยแบบผ่อนผันสำหรับผลตรวจ NG นี้,
Approving concession...,กำลังอนุมัติแบบผ่อนผัน...,
Terminal Action Roles,บทบาทการกระทำของ Terminal,
Action,การกระทำ,
Role,บทบาท,
Not permitted to perform this terminal action.,ไม่มีสิทธิ์ทำรายการนี้ใน Terminal,
Add Note,เพิ่มหมายเหตุ,
Saving note...,กำลังบันทึกหมายเหตุ...,
Patrol Inspection,ตรวจระหว่างผลิต,
Patrol {0} / {1},ตรวจครั้งที่ {0} / {1},
Previous Patrol,ตรวจครั้งก่อนหน้า,
Next Patrol,ตรวจครั้งถัดไป,
Patrol History,ประวัติตรวจระหว่างผลิต,
Passed Patrol,ตรวจผ่านแล้ว,
History,ประวัติ,
Patrol {0},ตรวจครั้งที่ {0},
Direct Quality Gate Override Roles,บทบาทข้ามด่านคุณภาพโดยตรง,
Quality Gate Override Warning,คำเตือนการข้ามด่านคุณภาพ,
Quality gate is not passed. This operation is allowed because your role is configured for direct quality gate override.,ด่านคุณภาพยังไม่ผ่าน แต่อนุญาตให้ทำรายการนี้เพราะบทบาทของคุณถูกกำหนดให้ข้ามด่านคุณภาพโดยตรง,
And {0} more quality gate issue(s).,และมีปัญหาด่านคุณภาพอีก {0} รายการ,
